|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
73|Sport x Fortaleza|SPT|0|FOR|0|2025-04-26T20:00|6ª RODADA
74|Botafogo x Fluminense|BOT|2|FLU|0|2025-04-26T21:00|6ª RODADA
75|Flamengo x Corinthians|FLA|4|COR|0|2025-04-27T16:00|6ª RODADA
76|Palmeiras x Bahia|PAL|0|BAH|1|2025-04-27T18:30|6ª RODADA
77|Cruzeiro x Vasco|CRU|1|VAS|0|2025-04-27T18:30|6ª RODADA
78|Vitória x Grêmio|VIT|1|GRE|1|2025-04-27T18:30|6ª RODADA
79|Santos x Bragantino|SAN|1|RBB|2|2025-04-27T20:30|6ª RODADA
80|Corinthians x Sport|COR|2|SPT|1|2025-04-19T16:00|5ª RODADA
81|Vasco x Flamengo|VAS|0|FLA|0|2025-04-19T18:30|5ª RODADA
82|Grêmio x Internacional|GRE|1|INT|1|2025-04-19T21:00|5ª RODADA
83|Juventude x Mirassol|JUV|2|MIR|2|2025-04-20T11:00|5ª RODADA
84|São Paulo x Santos|SAO|2|SAN|1|2025-04-20T16:00|5ª RODADA
85|Atlético-MG x Botafogo|CAM|1|BOT|0|2025-04-20T16:00|5ª RODADA
86|Fluminense x Vitória|FLU|1|VIT|1|2025-04-20T18:30|5ª RODADA
87|Fortaleza x Palmeiras|FOR|1|PAL|2|2025-04-20T18:30|5ª RODADA
88|Bragantino x Cruzeiro|RBB|1|CRU|0|2025-04-20T20:30|5ª RODADA
89|Bahia x Ceará|BAH|1|CEA|0|2025-04-21T20:00|5ª RODADA
90|Ceará x Vasco|CEA|2|VAS|1|2025-04-15T21:30|4ª RODADA
91|Botafogo x São Paulo|BOT|2|SAO|2|2025-04-16T18:30|4ª RODADA
92|Mirassol x Grêmio|MIR|4|GRE|1|2025-04-16T19:00|4ª RODADA
93|Sport x Bragantino|SPT|0|RBB|1|2025-04-16T19:00|4ª RODADA
94|Corinthians x Fluminense|COR|0|FLU|2|2025-04-16T19:30|4ª RODADA
95|Internacional x Palmeiras|INT|0|PAL|1|2025-04-16T19:30|4ª RODADA
96|Flamengo x Juventude|FLA|6|JUV|0|2025-04-16T21:30|4ª RODADA
97|Santos x Atlético-MG|SAN|2|CAM|0|2025-04-16T21:30|4ª RODADA
98|Vitória x Fortaleza|VIT|2|FOR|1|2025-04-16T21:30|4ª RODADA
99|Cruzeiro x Bahia|CRU|3|BAH|0|2025-04-17T21:30|4ª RODADA
100|Bragantino x Botafogo|RBB|1|BOT|0|2025-04-12T16:00|3ª RODADA
101|Juventude x Ceará|JUV|2|CEA|1|2025-04-12T16:00|3ª RODADA
102|Palmeiras x Corinthians|PAL|2|COR|0|2025-04-12T18:30|3ª RODADA
103|Vasco x Sport|VAS|3|SPT|1|2025-04-12T21:00|3ª RODADA
104|Bahia x Mirassol|BAH|1|MIR|1|2025-04-13T16:00|3ª RODADA
105|São Paulo x Cruzeiro|SAO|1|CRU|1|2025-04-13T17:30|3ª RODADA
106|Grêmio x Flamengo|GRE|0|FLA|2|2025-04-13T17:30|3ª RODADA
107|Fluminense x Santos|FLU|1|SAN|0|2025-04-13T19:30|3ª RODADA
108|Fortaleza x Internacional|FOR|0|INT|0|2025-04-13T20:00|3ª RODADA
109|Atlético-MG x Vitória|CAM|2|VIT|2|2025-04-13T20:30|3ª RODADA
110|Corinthians x Vasco|COR|3|VAS|0|2025-04-05T18:30|2ª RODADA
111|Ceará x Grêmio|CEA|2|GRE|0|2025-04-05T18:30|2ª RODADA
112|Botafogo x Juventude|BOT|2|JUV|0|2025-04-05T21:00|2ª RODADA
113|Fluminense x Bragantino|FLU|2|RBB|1|2025-04-06T16:00|2ª RODADA
114|Atlético-MG x São Paulo|CAM|0|SAO|0|2025-04-06T16:00|2ª RODADA
115|Mirassol x Fortaleza|MIR|1|FOR|1|2025-04-06T18:30|2ª RODADA
116|Internacional x Cruzeiro|INT|3|CRU|0|2025-04-06T18:30|2ª RODADA
117|Vitória x Flamengo|VIT|1|FLA|2|2025-04-06T18:30|2ª RODADA
118|Sport x Palmeiras|SPT|1|PAL|2|2025-04-06T18:30|2ª RODADA
119|Santos x Bahia|SAN|2|BAH|2|2025-04-06T20:30|2ª RODADA
120|São Paulo x Sport|SAO|0|SPT|0|2025-03-29T18:30|1ª RODADA
121|Cruzeiro x Mirassol|CRU|2|MIR|1|2025-03-29T18:30|1ª RODADA
122|Grêmio x Atlético-MG|GRE|2|CAM|1|2025-03-29T18:30|1ª RODADA
123|Fortaleza x Fluminense|FOR|2|FLU|0|2025-03-29T18:30|1ª RODADA
124|Juventude x Vitória|JUV|2|VIT|0|2025-03-29T18:30|1ª RODADA
125|Flamengo x Internacional|FLA|1|INT|1|2025-03-29T21:00|1ª RODADA
126|Palmeiras x Botafogo|PAL|0|BOT|0|2025-03-30T16:00|1ª RODADA
127|Vasco x Santos|VAS|2|SAN|1|2025-03-30T18:30|1ª RODADA
128|Bahia x Corinthians|BAH|1|COR|1|2025-03-30T20:00|1ª RODADA
129|Bragantino x Ceará|RBB|2|CEA|2|2025-03-31T20:00|1ª RODADA
