|partida|mandante|placar_mandante|visitante|placar_visitante|data_hora|Rodada
0|Atlético-GO x CRB|ACG||CRB||2025-07-03T21:35|15ª RODADA
1|Coritiba x Volta Redonda|CFC||VRE||2025-07-04T19:00|15ª RODADA
2|Remo x Cuiabá|REM||CUI||2025-07-05T16:00|15ª RODADA
3|Avaí x Paysandu|AVA||PAY||2025-07-05T19:30|15ª RODADA
4|Amazonas x Athletico-PR|AMA||CAP||2025-07-05T20:30|15ª RODADA
5|Ferroviária x Vila Nova|AFE||VNO||2025-07-06T16:00|15ª RODADA
6|Botafogo-SP x Novorizontino|BSP||NOV||2025-07-06T18:30|15ª RODADA
7|Operário-PR x Chapecoense|OPE||CHA||2025-07-07T19:00|15ª RODADA
8|América-MG x Athletic Club|AME||ATH||2025-07-07T21:00|15ª RODADA
9|Goiás x Criciúma|GOI||CRI||2025-07-08T19:30|15ª RODADA
10|CRB x América-MG|CRB|1|AME|2|2025-06-26T21:35|14ª RODADA
11|Criciúma x Avaí|CRI|1|AVA|2|2025-06-27T20:30|14ª RODADA
12|Vila Nova x Atlético-GO|VNO|1|ACG|0|2025-06-28T16:00|14ª RODADA
13|Athletico-PR x Coritiba|CAP|0|CFC|1|2025-06-28T18:30|14ª RODADA
14|Athletic Club x Remo|ATH|1|REM|2|2025-06-29T16:00|14ª RODADA
15|Volta Redonda x Operário-PR|VRE|1|OPE|0|2025-06-29T16:00|14ª RODADA
16|Chapecoense x Goiás|CHA|1|GOI|2|2025-06-29T19:00|14ª RODADA
17|Novorizontino x Amazonas|NOV|1|AMA|1|2025-06-29T19:00|14ª RODADA
18|Paysandu x Ferroviária|PAY|2|AFE|1|2025-06-30T19:00|14ª RODADA
19|Cuiabá x Botafogo-SP|CUI|0|BSP|1|2025-06-30T21:00|14ª RODADA
20|Botafogo-SP x Chapecoense|BSP|1|CHA|0|2025-06-20T19:00|13ª RODADA
21|América-MG x Criciúma|AME|1|CRI|1|2025-06-20T21:35|13ª RODADA
22|Avaí x Athletico-PR|AVA|1|CAP|2|2025-06-21T16:00|13ª RODADA
23|Remo x Paysandu|REM|0|PAY|1|2025-06-21T18:30|13ª RODADA
24|Ferroviária x CRB|AFE|1|CRB|0|2025-06-21T20:30|13ª RODADA
25|Coritiba x Cuiabá|CFC|2|CUI|0|2025-06-22T16:00|13ª RODADA
26|Atlético-GO x Volta Redonda|ACG|2|VRE|0|2025-06-22T16:00|13ª RODADA
27|Amazonas x Vila Nova|AMA|2|VNO|1|2025-06-22T18:00|13ª RODADA
28|Operário-PR x Novorizontino|OPE|2|NOV|0|2025-06-23T19:00|13ª RODADA
29|Goiás x Athletic Club|GOI|1|ATH|2|2025-06-23T21:00|13ª RODADA
30|Vila Nova x América-MG|VNO|0|AME|3|2025-06-13T19:00|12ª RODADA
31|Paysandu x Botafogo-SP|PAY|1|BSP|0|2025-06-13T21:35|12ª RODADA
32|CRB x Goiás|CRB|2|GOI|0|2025-06-14T16:00|12ª RODADA
33|Athletico-PR x Remo|CAP|2|REM|1|2025-06-14T18:30|12ª RODADA
34|Athletic Club x Operário-PR|ATH|2|OPE|1|2025-06-14T20:30|12ª RODADA
35|Atlético-GO x Coritiba|ACG|0|CFC|0|2025-06-15T16:00|12ª RODADA
36|Novorizontino x Cuiabá|NOV|3|CUI|0|2025-06-15T16:00|12ª RODADA
37|Criciúma x Amazonas|CRI|3|AMA|2|2025-06-15T20:30|12ª RODADA
38|Chapecoense x Ferroviária|CHA|2|AFE|1|2025-06-16T19:00|12ª RODADA
39|Volta Redonda x Avaí|VRE|1|AVA|1|2025-06-17T19:30|12ª RODADA
40|Botafogo-SP x Coritiba|BSP|0|CFC|0|2025-06-05T18:00|11ª RODADA
41|Novorizontino x Chapecoense|NOV|1|CHA|0|2025-06-06T19:00|11ª RODADA
42|Cuiabá x Paysandu|CUI|1|PAY|0|2025-06-06T21:35|11ª RODADA
43|América-MG x Ferroviária|AME|1|AFE|2|2025-06-07T16:00|11ª RODADA
44|Avaí x CRB|AVA|1|CRB|0|2025-06-07T20:30|11ª RODADA
45|Goiás x Volta Redonda|GOI|2|VRE|0|2025-06-08T16:00|11ª RODADA
46|Athletico-PR x Atlético-GO|CAP|0|ACG|1|2025-06-08T18:00|11ª RODADA
47|Remo x Operário-PR|REM|2|OPE|1|2025-06-08T19:00|11ª RODADA
48|Criciúma x Vila Nova|CRI|1|VNO|0|2025-06-09T19:00|11ª RODADA
49|Amazonas x Athletic Club|AMA|1|ATH|0|2025-06-09T19:30|11ª RODADA
50|Ferroviária x Botafogo-SP|AFE|1|BSP|1|2025-05-29T21:35|10ª RODADA
51|Vila Nova x Novorizontino|VNO|0|NOV|1|2025-05-30T19:00|10ª RODADA
52|Coritiba x Avaí|CFC|2|AVA|1|2025-05-31T16:00|10ª RODADA
53|Atlético-GO x Goiás|ACG|1|GOI|2|2025-05-31T18:30|10ª RODADA
54|Athletic Club x Cuiabá|ATH|0|CUI|2|2025-05-31T20:30|10ª RODADA
55|Operário-PR x Athletico-PR|OPE|2|CAP|2|2025-06-01T16:00|10ª RODADA
56|CRB x Remo|CRB|2|REM|0|2025-06-01T18:00|10ª RODADA
57|Volta Redonda x América-MG|VRE|1|AME|0|2025-06-01T20:30|10ª RODADA
58|Chapecoense x Amazonas|CHA|4|AMA|0|2025-06-02T19:00|10ª RODADA
59|Paysandu x Criciúma|PAY|0|CRI|1|2025-06-02T21:00|10ª RODADA
60|Goiás x Ferroviária|GOI|2|AFE|0|2025-05-23T21:35|9ª RODADA
61|Athletico-PR x Athletic Club|CAP|1|ATH|0|2025-05-24T16:00|9ª RODADA
62|Remo x Volta Redonda|REM|1|VRE|1|2025-05-24T18:00|9ª RODADA
63|Avaí x Chapecoense|AVA|2|CHA|1|2025-05-24T18:30|9ª RODADA
64|Novorizontino x Paysandu|NOV|3|PAY|1|2025-05-25T16:00|9ª RODADA
65|Amazonas x Operário-PR|AMA|2|OPE|0|2025-05-25T18:30|9ª RODADA
66|Criciúma x Coritiba|CRI|0|CFC|1|2025-05-26T19:00|9ª RODADA
67|Botafogo-SP x CRB|BSP|2|CRB|1|2025-05-26T20:00|9ª RODADA
68|Cuiabá x Vila Nova|CUI|1|VNO|0|2025-05-26T21:00|9ª RODADA
69|América-MG x Atlético-GO|AME|2|ACG|1|2025-05-27T19:30|9ª RODADA
70|Ferroviária x Avaí|AFE|1|AVA|1|2025-05-15T21:35|8ª RODADA
71|Chapecoense x Cuiabá|CHA|2|CUI|1|2025-05-16T19:00|8ª RODADA
72|Operário-PR x Botafogo-SP|OPE|3|BSP|0|2025-05-17T16:00|8ª RODADA
73|Vila Nova x Athletico-PR|VNO|2|CAP|1|2025-05-17T18:30|8ª RODADA
74|Athletic Club x Novorizontino|ATH|0|NOV|2|2025-05-17T20:30|8ª RODADA
75|Atlético-GO x Remo|ACG|1|REM|1|2025-05-18T16:00|8ª RODADA
76|CRB x Criciúma|CRB|1|CRI|0|2025-05-18T16:00|8ª RODADA
77|Paysandu x Goiás|PAY|0|GOI|0|2025-05-18T18:30|8ª RODADA
78|Volta Redonda x Amazonas|VRE|1|AMA|1|2025-05-19T19:00|8ª RODADA
79|Coritiba x América-MG|CFC|1|AME|0|2025-05-19T21:35|8ª RODADA
80|Athletico-PR x Chapecoense|CAP|1|CHA|1|2025-05-08T21:35|7ª RODADA
81|Avaí x Atlético-GO|AVA|0|ACG|0|2025-05-10T16:00|7ª RODADA
82|Goiás x Coritiba|GOI|1|CFC|0|2025-05-10T18:30|7ª RODADA
