,partida,mandante,placar_mandante,visitante,placar_visitante,Rodada
95,Internacional x Palmeiras,INT,0,PAL,1,4ª RODADA
96,Flamengo x Juventude,FLA,6,JUV,0,4ª RODADA
97,Santos x Atlético-MG,SAN,2,CAM,0,4ª RODADA
98,Vitória x Fortaleza,VIT,2,FOR,1,4ª RODADA
99,Cruzeiro x Bahia,CRU,3,BAH,0,4ª RODADA
100,Bragantino x Botafogo,RBB,1,BOT,0,3ª RODADA
101,Juventude x Ceará,JUV,2,CEA,1,3ª RODADA
102,Palmeiras x Corinthians,PAL,2,COR,0,3ª RODADA
103,Vasco x Sport,VAS,3,SPT,1,3ª RODADA
104,Bahia x Mirassol,BAH,1,MIR,1,3ª RODADA
105,São Paulo x Cruzeiro,SAO,1,CRU,1,3ª RODADA
106,Grêmio x Flamengo,GRE,0,FLA,2,3ª RODADA
107,Fluminense x Santos,FLU,1,SAN,0,3ª RODADA
108,Fortaleza x Internacional,FOR,0,INT,0,3ª RODADA
109,Atlético-MG x Vitória,CAM,2,VIT,2,3ª RODADA
110,Corinthians x Vasco,COR,3,VAS,0,2ª RODADA
111,Ceará x Grêmio,CEA,2,GRE,0,2ª RODADA
112,Botafogo x Juventude,BOT,2,JUV,0,2ª RODADA
113,Fluminense x Bragantino,FLU,2,RBB,1,2ª RODADA
114,Atlético-MG x São Paulo,CAM,0,SAO,0,2ª RODADA
115,Mirassol x Fortaleza,MIR,1,FOR,1,2ª RODADA
116,Internacional x Cruzeiro,INT,3,CRU,0,2ª RODADA
117,Vitória x Flamengo,VIT,1,FLA,2,2ª RODADA
118,Sport x Palmeiras,SPT,1,PAL,2,2ª RODADA
119,Santos x Bahia,SAN,2,BAH,2,2ª RODADA
120,São Paulo x Sport,SAO,0,SPT,0,1ª RODADA
121,Cruzeiro x Mirassol,CRU,2,MIR,1,1ª RODADA
122,Grêmio x Atlético-MG,GRE,2,CAM,1,1ª RODADA
123,Fortaleza x Fluminense,FOR,2,FLU,0,1ª RODADA
124,Juventude x Vitória,JUV,2,VIT,0,1ª RODADA
125,Flamengo x Internacional,FLA,1,INT,1,1ª RODADA
126,Palmeiras x Botafogo,PAL,0,BOT,0,1ª RODADA
127,Vasco x Santos,VAS,2,SAN,1,1ª RODADA
128,Bahia x Corinthians,BAH,1,COR,1,1ª RODADA
129,Bragantino x Ceará,RBB,2,CEA,2,1ª RODADA
